tmp local (C), tmp object (C), sound voltage (V), current (A),
10.00,12.00,4.81,-26.66,21206296
10.00,12.00,4.81,-26.33,-1756373280
10.00,12.00,4.81,-26.48,1386587176
10.00,12.00,4.81,-26.57,661231576
10.00,12.00,4.81,-26.75,-704149244
10.00,12.00,4.80,-26.54,917222356
10.00,12.00,4.81,-26.56,767886376
10.00,12.00,4.81,-26.62,341202856
10.00,12.00,4.81,-27.18,390756032
10.00,12.00,4.81,-27.29,-483935548
10.00,12.00,4.81,-27.18,348074792
10.00,12.00,4.81,-26.95,2140106972
10.00,12.00,4.81,-26.86,-1472153804
10.00,12.00,4.81,-26.92,-1962843104
10.00,12.00,4.81,-27.06,1308096632
10.00,12.00,4.81,-27.03,1478757152
10.00,12.00,4.81,-26.16,-519003960
10.00,12.00,4.81,-26.56,746561836
10.00,12.00,4.81,-26.75,-640143524
10.00,12.00,4.81,-26.55,853216636
10.00,12.00,4.81,-26.75,-661468004
10.00,12.00,4.81,-26.49,1258575676
10.00,12.00,4.81,-26.67,-42799424
10.00,12.00,4.81,-27.39,-1209291088
10.00,12.00,4.81,-27.05,1372102352
10.00,12.00,4.81,-27.17,412080512
10.00,12.00,4.81,-26.95,2097457892
10.00,12.00,4.81,-26.64,127861096
10.00,12.00,4.81,-26.95,2140106972
10.00,12.00,4.81,-26.32,-1692367560
10.00,12.00,4.81,-26.74,-618818984
10.00,12.00,4.81,-26.36,-2012364060
10.00,12.00,4.81,-26.35,-1927033800
10.00,12.00,4.81,-26.72,-426801764
10.00,12.00,4.81,-26.45,1621253416
10.00,12.00,4.81,-26.23,-1031017740
10.00,12.00,4.81,-27.10,988100072
10.00,12.00,4.81,-26.73,-554813264
10.00,12.00,4.81,-26.10,-28314660
10.00,12.00,4.81,-27.20,220063292
10.00,12.00,4.81,-26.98,1905440672
10.00,12.00,4.81,-25.96,1017037440
10.00,12.00,4.81,-27.18,369399332
10.00,12.00,4.81,-27.19,326750252
10.00,12.00,4.81,-26.52,1045233856
10.00,12.00,4.81,-27.33,-782607568
10.00,12.00,4.81,-26.51,1173245356
10.00,12.00,4.81,-26.17,-561685200
10.00,12.00,4.81,-26.38,2090585956
10.00,12.00,4.81,-26.21,-903006240
10.00,12.00,4.81,-26.57,682556116
10.00,12.00,4.81,-26.80,-1024145804
10.00,12.00,4.80,-26.26,-1287008520
10.00,12.00,4.81,-26.68,-170810924
10.00,12.00,4.81,-27.14,689428052
10.00,12.00,4.81,-27.15,561416552
10.00,12.00,4.81,-29.38,887544156
10.00,12.00,4.81,-27.09,1052105852
10.00,12.00,4.81,-27.15,604097792
10.00,12.00,4.81,-26.96,2012127632
10.00,12.00,4.81,-26.93,-2048173364
10.00,12.00,4.81,-27.04,1436108132
10.00,12.00,4.81,-26.39,2026580236
10.00,12.00,4.80,-26.35,-1969715040
10.00,12.00,4.81,-26.46,1493241916
10.00,12.00,4.81,-26.52,1087882876
10.00,12.00,4.81,-26.77,-810804044
10.00,12.00,4.81,-26.63,213223576
10.00,12.00,4.81,-26.71,-405477224
10.00,12.00,4.81,-27.24,-121257748
10.00,12.00,4.81,-27.03,1478757152
10.00,12.00,4.81,-27.27,-334599508
10.00,12.00,4.81,-27.17,454761752
10.00,12.00,4.81,-27.22,49402772
10.00,12.00,4.81,-26.81,-1088151524
10.00,12.00,4.81,-26.91,-1877512844
10.00,12.00,4.81,-29.36,1036880136
10.00,12.00,4.81,-26.80,-1024145804
10.00,12.00,4.81,-26.27,-1329689760
10.00,12.00,4.81,-26.66,21206296
10.00,12.00,4.81,-26.43,1770589456
10.00,12.00,4.81,-26.18,-689664480
10.00,12.00,4.81,-27.09,1052105852
10.00,12.00,4.81,-26.68,-106805204
10.00,12.00,4.81,-26.26,-1223034960
10.00,12.00,4.81,-27.13,732077072
10.00,12.00,4.81,-27.14,668071352
10.00,12.00,4.81,-27.01,1628125352
10.00,12.00,4.81,-27.27,-334599508
10.00,12.00,4.81,-27.12,796082852
10.00,12.00,4.81,-26.41,1898568736
10.00,12.00,4.81,-27.41,-1337302588
10.00,12.00,4.81,-26.59,533220076
10.00,12.00,4.81,-26.38,2090585956
10.00,12.00,4.81,-26.94,-2090854604
10.00,12.00,4.81,-26.66,42530836
10.00,12.00,4.80,-26.27,-1351014300
10.00,12.00,4.81,-26.86,-1493510564
10.00,12.00,4.81,-26.47,1429236136
10.00,12.00,4.81,-26.57,682556116
10.00,12.00,4.81,-26.98,1905440672
10.00,12.00,4.81,-27.08,1094754872
10.00,12.00,4.81,-27.16,518735312
10.00,12.00,4.81,-26.97,1926797372
10.00,12.00,4.81,-27.08,1158760592
10.00,12.00,4.81,-26.87,-1600165304
10.00,12.00,4.81,-27.07,1222766372
10.00,12.00,4.81,-26.86,-1472153804
10.00,12.00,4.81,-26.37,-2076369840
10.00,12.00,4.81,-26.60,447889816
10.00,12.00,4.80,-26.68,-106805204
10.00,12.00,4.81,-26.55,810567616
10.00,12.00,4.81,-26.59,533220076
10.00,12.00,4.81,-26.46,1557247636
10.00,12.00,4.81,-26.67,-85448504
10.00,12.00,4.81,-27.21,134733032
10.00,12.00,4.81,-27.01,1692098912
10.00,12.00,4.81,-26.97,1926797372
10.00,12.00,4.81,-25.61,-632530696
10.00,12.00,4.81,-26.89,-1728176864
10.00,12.00,4.81,-26.92,-1962843104
10.00,12.00,4.81,-27.02,1585444112
10.00,12.00,4.81,-27.16,497410772
10.00,12.00,4.81,-26.39,2026580236
10.00,12.00,4.81,-26.45,1621253416
10.00,12.00,4.81,-26.55,853216636
10.00,12.00,4.81,-26.50,1194569896
10.00,12.00,4.81,-26.12,-177650700
10.00,12.00,4.81,-26.64,170542336
10.00,12.00,4.81,-26.62,341202856
10.00,12.00,4.81,-26.45,1599896656
10.00,12.00,4.81,-27.42,-1422632848
10.00,12.00,4.81,-27.04,1457432612
10.00,12.00,4.81,-26.80,-1045470284
10.00,12.00,4.81,-27.17,433405052
10.00,12.00,4.81,-27.20,241419992
10.00,12.00,4.81,-26.61,362559556
10.00,12.00,4.81,-27.19,262744532
10.00,12.00,4.81,-26.56,789210856
10.00,12.00,4.81,-26.19,-732345720
10.00,12.00,4.81,-26.47,1429236136
